RECORD_ID,REGISTER,STR
2015-011126STR,STR-0000662,662
2015-004229STR,STR-0000663,663
2015-011293STR,STR-0000664,664
2015-011289STR,STR-0000665,665
2015-011099STR,STR-0000666,666
2015-011318STR,STR-0000667,667
2015-010497STR,STR-0000668,668
2015-011489STR,STR-0000669,669
2015-011429STR,STR-0000670,670
2015-006620STR,STR-0000671,671
2015-012304STR,STR-0000672,672
2015-009652STR,STR-0000673,673
2015-001846STR,STR-0000674,674
2015-008671STR,STR-0000675,675
2015-009824STR,STR-0000676,676
2015-012169STR,STR-0000677,677
2015-011586STR,STR-0000678,678
2015-010460STR,STR-0000679,679
2015-012030STR,STR-0000680,680
2015-012028STR,STR-0000681,681
2015-012042STR,STR-0000682,682
2015-007438STR,STR-0000683,683
2015-012154STR,STR-0000684,684
2015-011258STR,STR-0000685,685
2015-012118STR,STR-0000686,686
2015-012297STR,STR-0000687,687
2015-010708STR,STR-0000688,688
2015-010438STR,STR-0000689,689
2015-012337STR,STR-0000690,690
2015-012343STR,STR-0000691,691
2015-012325STR,STR-0000692,692
2015-007048STR,STR-0000693,693
2015-010507STR,STR-0000694,694
2015-012425STR,STR-0000695,695
2015-012283STR,STR-0000696,696
2015-005646STR,STR-0000697,697
2015-012488STR,STR-0000698,698
2015-011575STR,STR-0000699,699
2015-009054STR,STR-0000700,700
2015-012628STR,STR-0000701,701
2015-012685STR,STR-0000702,702
2015-012484STR,STR-0000703,703
2015-012851STR,STR-0000704,704
2015-012807STR,STR-0000705,705
2015-009253STR,STR-0000706,706
2015-013133STR,STR-0000707,707
2015-013126STR,STR-0000708,708
2015-013186STR,STR-0000709,709
2015-003423STR,STR-0000710,710
2015-013174STR,STR-0000711,711
2015-013188STR,STR-0000712,712
2015-013337STR,STR-0000713,713
2015-013128STR,STR-0000714,714
2015-005296STR,STR-0000715,715
2015-013339STR,STR-0000716,716
2015-013360STR,STR-0000717,717
2015-013007STR,STR-0000718,718
2015-013127STR,STR-0000719,719
2015-013141STR,STR-0000720,720
2015-013577STR,STR-0000721,721
2015-013552STR,STR-0000722,722
2015-013824STR,STR-0000723,723
2015-013886STR,STR-0000724,724
2015-014053STR,STR-0000725,725
2015-014064STR,STR-0000726,726
2015-012834STR,STR-0000727,727
2015-005640STR,STR-0000728,728
2015-004464STR,STR-0000729,729
2015-010619STR,STR-0000730,730
2015-014050STR,STR-0000731,731
2015-014224STR,STR-0000732,732
2015-014322STR,STR-0000733,733
2015-014313STR,STR-0000734,734
2015-012473STR,STR-0000735,735
2015-014328STR,STR-0000736,736
2015-014318STR,STR-0000737,737
2015-014316STR,STR-0000738,738
2015-014421STR,STR-0000739,739
2015-014425STR,STR-0000740,740
2015-014445STR,STR-0000741,741
2015-014450STR,STR-0000742,742
2015-005675STR,STR-0000743,743
2015-013558STR,STR-0000744,744
2015-014508STR,STR-0000745,745
2015-014638STR,STR-0000746,746
2015-008915STR,STR-0000747,747
2015-014618STR,STR-0000748,748
2015-003191STR,STR-0000749,749
2015-014466STR,STR-0000750,750
2015-014482STR,STR-0000751,751
2015-014653STR,STR-0000752,752
2015-014652STR,STR-0000753,753
2015-014649STR,STR-0000754,754
2015-014648STR,STR-0000755,755
2015-014620STR,STR-0000756,756
2015-014717STR,STR-0000757,757
2015-014729STR,STR-0000758,758
2015-014774STR,STR-0000759,759
2015-014651STR,STR-0000760,760
2015-014937STR,STR-0000761,761
2015-014922STR,STR-0000762,762
2015-014709STR,STR-0000763,763
2015-014707STR,STR-0000764,764
2015-014725STR,STR-0000765,765
2015-014980STR,STR-0000766,766
2015-014975STR,STR-0000767,767
2015-014632STR,STR-0000768,768
2015-014089STR,STR-0000769,769
2015-014623STR,STR-0000770,770
2015-014633STR,STR-0000771,771
2015-015036STR,STR-0000772,772
2015-015011STR,STR-0000773,773
2015-013149STR,STR-0000774,774
2015-014913STR,STR-0000775,775
2015-014988STR,STR-0000776,776
2015-014919STR,STR-0000777,777
2015-014986STR,STR-0000778,778
2015-015018STR,STR-0000779,779
2015-014930STR,STR-0000780,780
2015-014972STR,STR-0000781,781
2015-015023STR,STR-0000782,782
2015-004817STR,STR-0000783,783
2015-014082STR,STR-0000784,784
2015-013022STR,STR-0000785,785
2015-015181STR,STR-0000786,786
2015-014760STR,STR-0000787,787
2015-015165STR,STR-0000788,788
2015-015167STR,STR-0000789,789
2015-015170STR,STR-0000790,790
2015-015172STR,STR-0000791,791
2015-012320STR,STR-0000792,792
2015-009977STR,STR-0000793,793
2015-006623STR,STR-0000794,794
2015-014059STR,STR-0000795,795
2015-014348STR,STR-0000796,796
2015-011420STR,STR-0000797,797
2015-008940STR,STR-0000798,798
2015-015283STR,STR-0000799,799
2015-015290STR,STR-0000800,800
2015-014779STR,STR-0000801,801
2015-016197STR,STR-0000802,802
2015-015289STR,STR-0000803,803
2015-015212STR,STR-0000804,804
2015-015200STR,STR-0000805,805
2015-015194STR,STR-0000806,806
2015-015193STR,STR-0000807,807
2015-015523STR,STR-0000808,808
2015-015208STR,STR-0000809,809
2015-015157STR,STR-0000810,810
2015-015474STR,STR-0000811,811
2015-015466STR,STR-0000812,812
2015-015462STR,STR-0000813,813
2015-015413STR,STR-0000814,814
2015-018008STR,STR-0000815,815
2015-015339STR,STR-0000816,816
2015-015328STR,STR-0000817,817
2015-015337STR,STR-0000818,818
2015-015388STR,STR-0000819,819
