RECORD_NO,LISTING_ID,HOST_ID,web,Service,what
2019-014374STR,36928741,219791143,https://www.airbnb.com/rooms/36928741,Airbnb,1137
2019-014375STR,32824201,9176247,https://www.airbnb.com/rooms/32824201,Airbnb,1138
2019-014524STR,10943827,4925259,https://www.airbnb.com/rooms/10943827,Airbnb,1139
2019-014526STR,15583185,20920877,https://www.airbnb.com/rooms/15583185,Airbnb,1140
2019-014600STR,35429693,12845290,https://www.airbnb.com/rooms/35429693,Airbnb,1141
2019-014607STR,31651414,59106304,https://www.airbnb.com/rooms/31651414,Airbnb,1142
2019-014609STR,32724526,21567505,https://www.airbnb.com/rooms/32724526,Airbnb,1143
2019-014647STR,353292,1789683,https://www.airbnb.com/rooms/353292,Airbnb,1144
2019-014659STR,1725853,9095946,https://www.airbnb.com/rooms/1725853,Airbnb,1145
2019-014671STR,14990478,71381627,https://www.airbnb.com/rooms/14990478,Airbnb,1146
2019-014679STR,36211035,5325789,https://www.airbnb.com/rooms/36211035,Airbnb,1147
2019-014791STR,32726099,7167269,https://www.airbnb.com/rooms/32726099,Airbnb,1148
2019-014865STR,3962831,3080489,https://www.airbnb.com/rooms/3962831,Airbnb,1149
2019-014947STR,37814244,11551408,https://www.airbnb.com/rooms/37814244,Airbnb,1150
2019-015092STR,2747383,12449463,https://www.airbnb.com/rooms/2747383,Airbnb,1151
2019-015168STR,29594605,6751852,https://www.airbnb.com/rooms/29594605,Airbnb,1152
2019-015174STR,545685,2676602,https://www.airbnb.com/rooms/545685,Airbnb,1153
