"b1_alt_id","b1_special_text","SD_PRO_DES","SD_APP_DES","CURRENT","NEXT","RecordStatus"
"2016-001456ENF","Auto Repair / Storage at Dwelling","On Hold","NULL","018000000000000","017000000000000","Pending Closure"
"2016-001456ENF","Auto Repair / Storage at Dwelling","Analysis","Analysis Complete - Violation Abated","017001000000000","019018000000000","Pending Closure"
"2016-001599ENF","169-179 11th Street","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2016-001599ENF","169-179 11th Street","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2016-001599ENF","169-179 11th Street","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2016-001625ENF","645-647 Broderick Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001625ENF","645-647 Broderick Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001625ENF","645-647 Broderick Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001631ENF","833 San Jose Avenue","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001631ENF","833 San Jose Avenue","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001631ENF","833 San Jose Avenue","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001633ENF","1109-1123 Leavenworth Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001633ENF","1109-1123 Leavenworth Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001633ENF","1109-1123 Leavenworth Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001635ENF","1146 Fell Street Illegal Short-Term Rentals","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001635ENF","1146 Fell Street Illegal Short-Term Rentals","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001635ENF","1146 Fell Street Illegal Short-Term Rentals","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001637ENF","1148 Fell Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001637ENF","1148 Fell Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001637ENF","1148 Fell Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001640ENF","1324-28 Fell Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
